propertyCode,price,size,priceByArea,rooms,bathrooms,district,municipality,neighborhood,latitude,longitude,floor,status,newDevelopment,hasLift,numPhotos,hasVideo,url,zona_geografica,dist_centro_km,m2_por_quarto,preco_total_estimado,densidade_wc,localizacao_premium
33991116,310000.0,78.0,3974.0,1,1,Padrão da Légua - Av. Xanana Gusmão,Custóias - Leça do Balio - Guifões,,41.191013,-8.6333514,1,newdevelopment,True,True,20,True,https://www.idealista.pt/empreendimento/33991116/,5,4.973610053144598,39.0,309972.0,0.5,0
33991104,260000.0,68.0,3824.0,1,1,Padrão da Légua - Av. Xanana Gusmão,Custóias - Leça do Balio - Guifões,,41.191013,-8.6333514,3,newdevelopment,True,True,20,True,https://www.idealista.pt/empreendimento/33991104/,5,4.973610053144598,34.0,260032.0,0.5,0
34693866,1300000.0,408.0,3186.0,4,4,Foz Velha,Aldoar - Foz do Douro - Nevogilde,,41.1534121,-8.6761028,bj,good,False,True,37,False,https://www.idealista.pt/imovel/34693866/,0,5.475645770216013,81.6,1299888.0,0.8,0
34496228,960000.0,152.0,6316.0,2,3,Miragaia - Virtudes,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,,41.1456708,-8.6214294,,newdevelopment,True,True,18,True,https://www.idealista.pt/empreendimento/34496228/,1,0.9839631885733442,50.666666666666664,960032.0,1.0,1
34414053,510000.0,150.0,3400.0,2,3,Sete Bicas,São Mamede de Infesta e Senhora da Hora,,41.1863613,-8.6479305,2,newdevelopment,True,True,27,False,https://www.idealista.pt/empreendimento/34414053/,5,5.130004645524542,50.0,510000.0,1.0,0
34514588,690000.0,168.0,4107.0,4,4,Afurada - Arrábida - Cavaco,Santa Marinha e São Pedro da Afurada,,41.1412853,-8.6398064,4,good,False,True,30,True,https://www.idealista.pt/imovel/34514588/,2,2.5910282812666443,33.6,689976.0,0.8,1
34549193,540000.0,203.0,2660.0,2,2,Centro Histórico,Santa Marinha e São Pedro da Afurada,,41.1364988,-8.6210129,bj,newdevelopment,True,True,75,True,https://www.idealista.pt/empreendimento/34549193/,7,1.6850362728261348,67.66666666666667,539980.0,0.6666666666666666,1
33705104,715000.0,154.0,4643.0,1,2,Bessa Leite,Lordelo do Ouro e Massarelos,,41.1621399,-8.639538,1,newdevelopment,True,True,61,False,https://www.idealista.pt/empreendimento/33705104/,1,2.773587372121928,77.0,715022.0,1.0,1
34715701,250000.0,82.0,3049.0,1,1,Areosa,Rio Tinto,,41.1838876,-8.5814058,3,newdevelopment,True,True,12,False,https://www.idealista.pt/empreendimento/34715701/,3,4.54217223844504,41.0,250018.0,0.5,0
33723316,230000.0,47.0,4894.0,2,1,Campo 24 de Agosto,Bonfim,,41.1507568,-8.5989176,1,good,False,False,14,True,https://www.idealista.pt/imovel/33723316/,6,1.0114792345749515,15.666666666666666,230018.0,0.3333333333333333,1
34699259,371000.0,123.0,3016.0,2,2,Antas - Estádio do Dragão,Campanhã,,41.158902,-8.5915304,ss,newdevelopment,True,True,42,True,https://www.idealista.pt/empreendimento/34699259/,6,1.9234629442359152,41.0,370968.0,0.6666666666666666,1
34676242,525450.0,136.0,3864.0,3,3,Lavadores,Canidelo,,41.1316307,-8.6663733,5,good,False,True,53,True,https://www.idealista.pt/imovel/34676242/,2,5.056858221309122,34.0,525504.0,0.75,0
34702766,311000.0,62.0,5016.0,1,1,Antas - Estádio do Dragão,Campanhã,,41.163038,-8.5855652,3,,True,True,22,True,https://www.idealista.pt/empreendimento/34702766/,6,2.5945267070761133,31.0,310992.0,0.5,1
34720621,665000.0,124.0,5363.0,3,2,Pinhais da Foz,Aldoar - Foz do Douro - Nevogilde,,41.1565102,-8.6663162,7,good,False,True,32,False,https://www.idealista.pt/imovel/34720621/,0,4.702899902590266,31.0,665012.0,0.5,0
34271502,372500.0,52.0,7163.0,1,1,Campo 24 de Agosto,Bonfim,,41.151298,-8.5977405,20,newdevelopment,True,True,32,True,https://www.idealista.pt/empreendimento/34271502/,6,1.1178792494895093,26.0,372476.0,0.5,1
34699489,355000.0,57.0,6228.0,1,1,Centro Histórico,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Ferreira Borges - Comércio do Porto,41.142367,-8.6156672,2,newdevelopment,True,True,52,False,https://www.idealista.pt/empreendimento/34699489/,1,0.8978841520877882,28.5,354996.0,0.5,1
34699470,280000.0,45.0,6222.0,0,1,Centro Histórico,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Ferreira Borges - Comércio do Porto,41.142367,-8.6156672,2,newdevelopment,True,True,52,False,https://www.idealista.pt/empreendimento/34699470/,1,0.8978841520877882,45.0,279990.0,1.0,1
34271459,615000.0,146.0,4212.0,3,3,Campo 24 de Agosto,Bonfim,,41.151298,-8.5977405,7,newdevelopment,True,True,34,True,https://www.idealista.pt/empreendimento/34271459/,6,1.1178792494895093,36.5,614952.0,0.75,1
34699458,285000.0,45.0,6333.0,1,1,Centro Histórico,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Ferreira Borges - Comércio do Porto,41.142367,-8.6156672,3,newdevelopment,True,True,52,False,https://www.idealista.pt/empreendimento/34699458/,1,0.8978841520877882,22.5,284985.0,0.5,1
34708193,654600.0,202.0,3241.0,4,3,Francos - Casa da Música - Pedro Hispano,Ramalde,,41.1673436,-8.6316632,5,good,False,True,31,False,https://www.idealista.pt/imovel/34708193/,1,2.6294927661316945,40.4,654682.0,0.6,1
34706070,406000.0,88.0,4614.0,2,2,Antas - Estádio do Dragão,Campanhã,,41.163038,-8.5855652,3,newdevelopment,True,True,23,True,https://www.idealista.pt/empreendimento/34706070/,6,2.5945267070761133,29.333333333333332,406032.0,0.6666666666666666,1
